Unit,Day,Morning,Evening,Day,Morning,Evening
Medical Centre,Weekdays ( Mon-Sat ),9:00 AM – 1:00 PM,5:00 PM – 6:30 PM,Sunday,9:30 AM – 11:30 AM,*****
ENT,Monday,*****,5:00 PM–6:30 PM,Thursday,*****,5:00 PM – 6:30 PM
Dentist,Saturday,*****,3:30 PM – 6:30 PM,,,
Homeopathy,Tuesday,*****,5:30 PM – 6:30 PM,,,
Paediatrician,Wednesday,*****,5:00 PM – 6:30 PM,,,
Akshay (BITS COOP),Weekdays ( Tue-Sat ),10:00 AM – 1:30 PM,*****,Sunday,10:00 AM – 1:30 PM,*****
Library,Weekdays (Mon-Sat),9:00 AM - 11:00 PM,*****,Sundays & Holiday,9:00 AM - 5:00 PM,*****
IPC,All days (except Holi),8:00 AM - 1:00 PM,2:00 PM - 7:00 PM,Night,8:00 PM - 11:00 PM,*****
Basketball,Weekdays ( Mon-Sat ),6:30 AM – 8:30 AM,4:30 PM – 7:30 PM,,,
Tennis,Weekdays ( Mon-Sat ),6:30 AM – 8:30 AM,4:30 PM – 7:30 PM,,,
Volleyball,Weekdays ( Mon-Sat ),6:30 AM – 8:30 AM,4:30 PM – 7:30 PM,,,
Cricket,Weekdays ( Mon-Sat ),6:30 AM – 8:30 AM,4:30 PM – 7:30 PM,,,
Hockey,Weekdays ( Mon-Sat ),6:30 AM – 8:30 AM,4:30 PM – 7:30 PM,,,
Football,Weekdays ( Mon-Sat ),6:30 AM – 8:30 AM,4:30 PM – 7:30 PM,,,
Track & Field,Weekdays ( Mon-Sat ),6:30 AM – 8:30 AM,4:30 PM – 7:30 PM,,,
Health Club,Weekdays ( Mon-Sat ),6:30 AM – 8:30 AM,4:30 PM – 7:30 PM,,,
Badminton,Weekdays ( Mon-Sat ),6:30 AM – 8:30 AM,4:30 PM – 7:30 PM,,,
Table Tennis,Weekdays ( Mon-Sat ),6:30 AM – 8:30 AM,4:30 PM – 7:30 PM,,,
Squash,Weekdays ( Mon-Sat ),6:30 AM – 8:30 AM,4:30 PM – 7:30 PM,,,
Martial Arts (Self Defence),Weekdays ( Mon-Sat ),6:30 AM – 7:30 AM,5:30 PM – 6:30 PM,,,
Martial Arts (Competitive),Weekdays ( Mon-Sat ),*****,6:30 PM – 7:30 PM,,,
